"MaxTemp","MinTemp","Precipitation","DAY","MONTH"
90,73,"0.00",2,9
89,72,"0.41",3,9
92,70,"T",4,9
87,71,"0.00",5,9
85,71,"0.00",6,9
85,70,"0.22",7,9
84,71,"0.15",8,9
87,70,"0.22",9,9
85,69,"0.42",10,9
86,68,"0.00",11,9
78,59,"0.00",12,9
75,53,"0.00",13,9
77,54,"0.00",14,9
80,59,"0.00",15,9
79,62,"0.00",16,9
83,62,"0.00",17,9
83,65,"0.00",18,9
87,62,"0.00",19,9
89,65,"0.00",20,9
77,67,"T",21,9
76,67,"0.01",22,9
81,64,"0.00",23,9
74,59,"0.72",24,9
67,62,"0.28",25,9
71,66,"0.73",26,9
71,65,"0.01",27,9
75,67,"0.04",28,9
77,70,"0.72",29,9
85,68,"0.00",30,9
71,66,"0.21",1,10
66,60,"0.03",2,10
66,57,"0.50",3,10
70,62,"0.15",4,10
73,64,"0.01",5,10
76,59,"0.00",6,10
81,60,"0.00",7,10
82,60,"0.00",8,10
81,63,"0.00",9,10
71,63,"0.76",10,10
73,58,"0.00",11,10
76,56,"0.00",12,10
81,59,"0.03",13,10
78,51,"0.00",14,10
81,54,"0.00",15,10
77,52,"0.00",16,10
70,45,"0.00",17,10
66,44,"0.00",18,10
64,45,"0.00",19,10
71,43,"0.00",20,10
76,50,"0.00",21,10
79,54,"0.00",22,10
81,57,"0.00",23,10
76,59,"0.00",24,10
71,61,"T",25,10
67,52,"0.40",26,10
56,50,"0.20",27,10
78,56,"0.24",28,10
70,55,"0.01",29,10
70,48,"0.00",30,10
62,50,"0.01",31,10
65,57,"0.86",1,11
74,63,"2.62",2,11
68,63,"T",3,11
69,63,"T",4,11
67,62,"0.11",5,11
77,66,"0.87",6,11
70,56,"0.73",7,11
56,46,"1.55",8,11
53,47,"0.19",9,11
66,52,"T",10,11
74,48,"0.00",11,11
71,51,"0.01",12,11
62,43,"0.00",13,11
63,39,"0.00",14,11
59,38,"0.00",15,11
67,43,"0.00",16,11
70,53,"0.00",17,11
71,56,"1.03",18,11
70,51,"0.01",19,11
70,46,"0.00",20,11
57,44,"0.00",21,11
52,35,"0.00",22,11
54,31,"0.00",23,11
58,33,"0.00",24,11
57,37,"0.00",25,11
68,45,"0.00",26,11
72,49,"0.00",27,11
71,51,"0.00",28,11
73,55,"0.00",29,11
72,61,"0.00",30,11
70,60,"T",1,12
63,47,"0.15",2,12
48,40,"0.00",3,12
57,38,"0.00",4,12
59,37,"0.00",5,12
65,42,"0.00",6,12
66,46,"0.00",7,12
65,40,"0.00",8,12
66,42,"0.00",9,12
67,51,"0.00",10,12
73,55,"T",11,12
73,53,"0.00",12,12
72,53,"0.00",13,12
68,54,"0.26",14,12
72,48,"0.00",15,12
72,46,"0.17",16,12
66,48,"1.99",17,12
48,32,"0.00",18,12
53,29,"0.00",19,12
55,34,"0.00",20,12
57,44,"0.42",21,12
64,53,"0.38",22,12
66,61,"1.26",23,12
72,65,"3.93",24,12
75,63,"0.71",25,12
77,60,"0.02",26,12
75,65,"0.01",27,12
73,66,"1.54",28,12
71,57,"T",29,12
66,58,"1.45",30,12
62,46,"0.22",31,12
