"ID","Description","IATA_CODE","FIVE_CODE"
3273,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field","LIT",12992
3274,"Little Rock, AR: North Little Rock Municipal","JZV",12600
3275,"Little Squaw, AK: Little Squaw Airport","05A",10005
3276,"Liuzhou, China: Liuzhou South","LZH",13147
3277,"Livengood, AK: Livengood Airport","LIV",12993
3278,"Livermore, CA: Livermore Municipal","LVK",13117
3279,"Liverpool, United Kingdom: Liverpool Airport","LPL",13051
3280,"Livingston, MT: Livingston Airport","LVM",13118
3281,"Livingstone, Zambia: Harry Mwanga Nkumbula","LVI",13116
3282,"Livramento, Brazil: Livramento Airport","LVB",13114
3283,"Liwa, United Arab Emirates: Liwa Airbase","AE1",16592
3284,"Lizard Island, Australia: Lizard Island Airport","LZR",13150
3285,"Ljubljana, Slovenia: Ljubljana Airport","LJU",13000
3286,"Lloydminster, Canada: Lloydminster Airport","YLL",16110
3287,"Lobatse, Botswana: Lobatse Airport","LOQ",13042
3288,"Lock Haven, PA: William T. Piper Memorial","LHV",12974
3289,"Lodi, CA: Kingdon Airpark","VWQ",15662
3290,"Lodja, Congo (Kinshasa): Lodja Airport","LJA",12997
3291,"Lodz Lodzkie, Poland: Lodz Lublinek","LCJ",16733
3292,"Logan, UT: Logan Cache","LGU",12965
3293,"Logan, WV: Logan County","WV2",16496
3294,"Logrono, Spain: Logrono Airport","RJL",14538
3295,"Loikaw, Burma: Loikaw Airport","LIW",12994
3296,"Loja, Ecuador: Ciudad de Catamayo","LOH",13037
3297,"Lome, Togo: Gnassingbe Eyadema International","LFW",12952
3298,"Lompoc, CA: Lompoc Airport","LPC",13049
3299,"Lompoc, CA: Vandenberg AFB","VBG",15561
3300,"Londolovit, Papua New Guinea: Kunaye","LNV",16522
3301,"London, Canada: London Airport","YXU",16252
3302,"London, United Kingdom: Biggin Hill","BQH",10730
3303,"London, United Kingdom: London City","LCY",12920
3304,"London, United Kingdom: London Gatwick","LGW",12966
3305,"London, United Kingdom: London Heathrow","LHR",12972
3306,"London, United Kingdom: London Luton","LTN",13094
3307,"London, United Kingdom: London Metropolitan Area","LON",13041
3308,"London, United Kingdom: London Stansted","STN",15018
3309,"London/Corbin, KY: London-Corbin Airport-Magee Field","LOZ",13046
3310,"Londonderry, United Kingdom: Londonderry Airport","LDY",12930
3311,"Londrina, Brazil: Governador Jose Richa","LDB",12921
3312,"Lone Pine, CA: Lone Pine Death Valley","RQA",14593
3313,"Lonely, AK: Lonely AS","LNI",13028
3314,"Long Banga, Malaysia: Long Banga Airport","LBP",12903
3315,"Long Beach, CA: Long Beach Airport","LGB",12954
3316,"Long Island, AK: Long Island Airport","LIJ",12983
3317,"Long Island, Australia: Long Island Airport","HAP",12069
3318,"Long Sukang, Malaysia: Long Sukang Airport","LSU",13086
3319,"Longmont, CO: Longmont Municipal","LGM",12961
3320,"Longreach, Australia: Longreach Airport","LRE",13062
3321,"Longview, TX: East Texas Regional","GGG",11905
3322,"Longyearbyen, Norway: Svalbard","LYR",13142
3323,"Lonorore, Vanuatu: Lonorore Airport","LNE",13027
3324,"Lopez Island, WA: Lopez Island Airport","LPS",13055
3325,"Lorain/Elyria, OH: Lorain County Regional","LPR",15534
3326,"Lord Howe Island, Australia: Lord Howe Island Airport","LDH",12923
3327,"Loreto, Mexico: Loreto International","LTO",13095
3328,"Lorica, Colombia: Lorica Airport","LRI",13066
3329,"Lorient, France: Lorient Lann Bihoue","LRT",13071
3330,"Loring, AK: Loring Airport","LRG",13064
3331,"Loring, AK: Loring Airport","WLR",13064
3332,"Lorraine, Australia: Lorraine Airport","LOA",13036
3333,"Los Alamitos, CA: Los Alamitos AAF","VZL",15687
3334,"Los Alamos, NM: Los Alamos Airport","LAM",12883
3335,"Los Angeles, CA: Los Angeles International","LAX",12892
3336,"Los Angeles, CA: Whiteman","WHP",16678
3337,"Los Angeles, Chile: Maria Dolores","LSQ",13082
3338,"Los Banos, CA: Los Banos Municipal","LSN",13080
3339,"Los Chiles, Costa Rica: Los Chiles Airport","LSL",13079
3340,"Los Mochis, Mexico: Valle del Fuerte International","LMM",13018
3341,"Lossiemouth, United Kingdom: RAF Lossiemouth","LMO",13020
3342,"Lost Harbor, AK: Lost Harbor Airport","LHB",12968
3343,"Lost River, AK: Lost River 1","LSR",13083
3344,"Losuia, Papua New Guinea: Kiriwina","LSA",13073
3345,"Lotusvale, Australia: Lotusvale Airport","LTV",13098
3346,"Louisville, KY: Bowman Field","LOU",13044
3347,"Louisville, KY: Louisville International-Standiford Field","SDF",14730
3348,"Louisville, MS: Louisville Winston County","LMS",13023
3349,"Lovelock, NV: Derby Field","LOL",13039
3350,"Lovington, NM: Lea County-Zip Franklin Memorial","RQP",14608
3351,"Lowell, IN: Lowell Airport","RQL",14604
3352,"Luanda, Angola: Luanda 4 de Fevereiro","LAD",12876
3353,"Luang Phabang, Laos: Luang Phabang International","LPQ",13054
3354,"Lubang, Philippines: Lubang Airport","LBX",12909
3355,"Lubango, Angola: Lubango Airport","SDD",14728
3356,"Lubbock, TX: Lubbock Executive Airpark","RQT",14612
3357,"Lubbock, TX: Lubbock Preston Smith International","LBB",12896
3358,"Lubbock, TX: Reese AFB","REE",14498
3359,"Lubumbashi, Congo (Kinshasa): Lubumbashi International","FBM",11644
3360,"Lucenec, Slovakia: Lucenec Airport","LUE",13101
3361,"Lucknow, India: Chaudhary Charan Singh Lucknow International","LKO",13007
3362,"Luderitz, Namibia: Luderitz Airport","LUD",13100
3363,"Ludington, MI: Mason County","LDM",12927
3364,"Luebeck, Germany: Lubeck Blankensee","LBC",12897
3365,"Lufkin, TX: Angelina County","LFK",12948
3366,"Lugano, Switzerland: Lugano Airport","LUG",13103
3367,"Lukla, Nepal: Lukla Airport","LUA",13099
3368,"Lulea, Sweden: Kallax","LLA",13011
3369,"Lumberton, NC: Lumberton Regional","LBT",12906
3370,"Lumberton, NJ: Flying W","NJ6",16625
3371,"Lumi, Papua New Guinea: Lumi Airport","LMI",13017
3372,"Lupin, Canada: Lupin Airport","QQV",14432
3373,"Lusaka, Zambia: Kenneth Kaunda International","LUN",13108
3374,"Lusanga, Congo (Kinshasa): Lusanga Airport","LUS",16636
3375,"Lusikisiki, South Africa: Lusikisiki Airport","LUJ",13104
3376,"Luxembourg, Luxembourg: Luxembourg Airport","LUX",13113
3377,"Luxi, China: Mangshi","LUM",16411
3378,"Luxor, Egypt: Luxor International","LXR",13133
3379,"Luzhou, China: Luzhou Airport","LZO",13149
3380,"Luzon Island, Philippines: Diosdado Macapagal International","CRK",11138
3381,"Lviv, Ukraine: Lviv International","LWO",13126
3382,"Lycksele, Sweden: Lycksele Airport","LYC",13137
3383,"Lydd, United Kingdom: London Ashford","LYX",13145
3384,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field","LYH",13139
3385,"Lyndonville, VT: Caledonia County","QAO",14347
3386,"Lyndonville, VT: Caledonia County","LLX",14347
3387,"Lyneham, United Kingdom: RAF Lyneham","LYE",13138
3388,"Lynn Lake, Canada: Lynn Lake Airport","YYL",16264
3389,"Lyon, France: Lyon Bron","LYN",13140
3390,"Lyon, France: Lyon Saint Exupery","LYS",13143
3391,"Maastricht, Netherlands: Maastricht Airport","MST",13491
3392,"Macae, Brazil: Macae Airport","MEA",13237
3393,"Macapa, Brazil: Alberto Alcolumbre","MCP",13205
3394,"Macau, Macau: Macau International","MFM",13261
3395,"Maceio, Brazil: Zumbi Dos Palmares","MCZ",13213
3396,"Macenta, Guinea: Macenta Airport","MCA",13190
3397,"Machala, Ecuador: General Manuel Serrano","MCH",13197
3398,"Mackay, Australia: Mackay Airport","MKY",13357
3399,"Mackinac Island, MI: Mackinac Island Airport","MCD",13193
3400,"Macomb, IL: Macomb Municipal","MQB",13452
3401,"Macon, GA: Macon Downtown","MAC",13155
3402,"Macon, GA: Middle Georgia Regional","MCN",13203
3403,"Macon, GA: Robins AFB","WRB",15839
3404,"Mactan Island, Philippines: Nab","NOP",13722
3405,"Madang, Papua New Guinea: Madang Airport","MAG",13159
3406,"Madera, CA: Madera Municipal","MAE",13157
3407,"Madison, CT: Griswold","MPE",16501
3408,"Madison, SD: Madison Municipal","XMD",15915
3409,"Madison, WI: Dane County Regional-Truax Field","MSN",13485
3410,"Madisonville, KY: Madisonville Regional","KY5",12863
3411,"Madras, OR: Madras Municipal","MDJ",13223
3412,"Madrid, Spain: Adolfo Suarez Madrid Barajas","MAD",13156
3413,"Madrid, Spain: Getafe","ES1",11584
3414,"Madrid, Spain: Torrejon AFB","TOJ",15294
3415,"Madurai, India: Madurai Airport","IXM",12427
3416,"Mae Hong Son, Thailand: Mae Hong Son Airport","HGN",12117
3417,"Mae Sot, Thailand: Mae Sot Airport","MAQ",16436
3418,"Mafia Island, Tanzania: Mafia","MFA",13254
3419,"Magadan, Russia: Magadan Airport","GDX",11881
3420,"Magangue, Colombia: Magangue Airport","MGN",13278
3421,"Magdalena, Bolivia: Magdalena Airport","MGD",13272
3422,"Magwe, Burma: Magway","MWQ",13550
3423,"Mahdia, Guyana: Mahdia Airport","MHA",13284
3424,"Mahe Islands, Seychelles: Seychelles International","SEZ",14759
3425,"Mahon, Spain: Menorca","MAH",13160
3426,"Maiana, Kiribati: Maiana Airport","MNK",13407
3427,"Maicao, Colombia: Maicao Airport","MCJ",13199
3428,"Maiduguri, Nigeria: Maiduguri Airport","MIU",13320
3429,"Mainoru, Australia: Mainoru Airport","MIZ",13324
3430,"Maintirano, Madagascar: Maintirano Airport","MXT",13562
3431,"Maitland, Australia: Maitland Airport","MTL",13503
3432,"Majunga, Madagascar: Philibert Tsiranana","MJN",13334
3433,"Majuro, Marshall Islands: Marshall Islands International","MAJ",13162
3434,"Makemo, French Polynesia: Makemo Airport","MKP",13351
3435,"Makokou, Gabon: Makokou Airport","MKU",13355
3436,"Makoua, Congo (Brazaville): Makoua Airport","MKJ",13346
3437,"Makung, Taiwan: Ma Kung AB","MZG",13585
3438,"Makurdi, Nigeria: Makurdi Airport","MDI",13222
3439,"Mala Mala, South Africa: Malamala","AAM",10126
3440,"Malabang, Philippines: Malabang Airport","MLP",13373
3441,"Malabo, Equatorial Guinea: Malabo Airport","SSG",14994
3442,"Malacca, Malaysia: Malacca Airport","MKZ",13358
3443,"Malad City, ID: Malad City Airport","MLD",13362
3444,"Malaga, Spain: Malaga Costa del Sol","AGP",10205
3445,"Malakal, South Sudan: Malakal Airport","MAK",13163
3446,"Malalaua, Papua New Guinea: Malalaua Airport","MLQ",13374
3447,"Malang, Indonesia: Abdul Rachman Saleh","MLG",13365
3448,"Malargue, Argentina: Malargue Airport","LGS",12964
3449,"Malatya, Turkey: Malatya Airport","MLX",13380
3450,"Malden, MO: Malden Regional","MAW",13173
3451,"Maldonado, Uruguay: Capitan Corbeta C. A. Curbelo International","PDP",14052
3452,"Male, Maldives: Ibrahim Nasir International","MLE",13363
3453,"Maliana, Timor-Leste: Maliana Airport","MPT",13449
3454,"Malina Bay, AK: Malina Bay Airport","A75",10088
3455,"Malindi, Kenya: Malindi Airport","MYD",13568
3456,"Malmo, Sweden: Harbour Heliport","JMM",12517
3457,"Malmo, Sweden: Malmo Airport","MMX",13399
3458,"Malmo, Sweden: Malmo Metropolitan Area","MMA",13383
3459,"Malolo Lailai, Fiji: Malolo Lailai Airport","PTF",14271
3460,"Malta, Malta: Luqa International","MLA",13359
3461,"Malta, MT: Malta Airport","MLK",13368
3462,"Mamai, Papua New Guinea: Mamai Airport","MAP",13167
3463,"Mamburao, Philippines: Mamburao Airport","MBO",13183
3464,"Mamitupo, Panama: Mamitupo Airport","MPI",16485
3465,"Mammoth Lakes, CA: Mammoth Lakes Airport","MMH",13388
3466,"Man, Cote d'Ivoire: Man Airport","MJC",13327
3467,"Managua, Nicaragua: Augusto Cesar Sandino International","MGA",13269
3468,"Manakara, Madagascar: Manakara Airport","WVK",15878
3469,"Manama, Bahrain: Bahrain International","BAH",10480
3470,"Mananara, Madagascar: Avaratra","WMR",15795
3471,"Manassas, VA: Manassas Regional/Harry P. Davis Field","MNZ",13418
3472,"Manaus, Brazil: Eduardo Gomes International","MAO",13166
3473,"Manchester, NH: Manchester-Boston Regional","MHT",13296
3474,"Manchester, United Kingdom: Manchester Airport","MAN",13165
3475,"Mandalay, Burma: Mandalay International","MDL",16418
3476,"Mandan, ND: Mandan Municipal","WQB",15814
3477,"Mandeville, Jamaica: Marlboro","MVJ",13534
3478,"Mangaia, Cook Islands: Mangaia Cook Island","MGS",13281
3479,"Mangalore, India: Mangalore International","IXE",12420
3480,"Mangochi, Malawi: Mangochi Airport","MAI",13161
3481,"Mangrove Cay, The Bahamas: Clarence A Bain","MAY",13175
3482,"Manhattan/Ft. Riley, KS: Manhattan Regional","MHK",13290
3483,"Manicore, Brazil: Manicore Airport","MNX",13417
3484,"Manicouagan, Canada: Manic-5","YMV",16127
3485,"Manihi, French Polynesia: Manihi Airport","XMH",15916
3486,"Manila, Philippines: Ninoy Aquino International","MNL",13408
3487,"Manistee/Ludington, MI: Manistee County-Blacker","MBL",13182
3488,"Manistique, MI: Schoolcraft County","ISQ",12392
3489,"Manitowaning, Canada: Manitoulin East Municipal","YEM",16045
3490,"Manitowoc, WI: Manitowoc County","MTW",13512
3491,"Manizales, Colombia: La Nubia","MZL",13589
3492,"Manja, Madagascar: Manja Airport","MJA",13325
3493,"Mankato, MN: Downtown Heliport","JMN",12518
3494,"Mankato, MN: Mankato Regional","MKT",13354
3495,"Manley Hot Springs, AK: Manley Hot Springs Airport","MLY",13381
3496,"Mannheim, Germany: Mannheim City","MHG",13288
3497,"Manokotak, AK: Manokatak Seaplane Base","KMO",12737
3498,"Manokwari, Indonesia: Rendani","MKW",13356
3499,"Manono, Congo (Kinshasa): Manono Airport","MNO",13411
3500,"Mansa, Zambia: Mansa Airport","MNS",13414
3501,"Mansfield, MA: Mansfield Municipal","QMN",14400
3502,"Mansfield, OH: Mansfield Lahm Regional","MFD",13255
3503,"Mansfield, WA: Mansfield Airport","WA2",15703
3504,"Mansons Landing, Canada: Mansons Landing Water Aerodrome","YMU",16608
3505,"Manston, United Kingdom: Manston Airport","MSE",13481
3506,"Manta, Ecuador: Eloy Alfaro International","MEC",13239
3507,"Manteo, NC: Dare County Regional","MEO",13246
3508,"Manumu, Papua New Guinea: Manumu Airport","UUU",15510
3509,"Manus Island, Papua New Guinea: Momote","MAS",13170
3510,"Manzanillo, Cuba: Sierra Maestra","MZO",13592
3511,"Manzanillo, Mexico: Playa de Oro International","ZLO",16306
3512,"Manzanita Lake, AK: Manzanita Lake Airport","FQO",11748
3513,"Manzini, Swaziland: Matsapha","MTS",13509
3514,"Mao, Chad: Mao Airport","AMO",10289
3515,"Maota, Samoa: Maota Airport","MXS",13561
3516,"Maputo, Mozambique: Maputo Airport","MPM",13444
3517,"Mar del Plata, Argentina: Mar del Plata Airport","MDQ",13227
3518,"Maraba, Brazil: Joao Correa Da Rocha","MAB",13154
3519,"Maracaibo, Venezuela: La Chinita International","MAR",13169
3520,"Maracay, Venezuela: Maracay Airport","MYC",13567
3521,"Maradi, Niger: Maradi Airport","MFQ",13263
3522,"Marakei, Kiribati: Marakei Airport","MZK",13588
3523,"Marana, AZ: Pinal Airpark","MZJ",13587
3524,"Marathon, Canada: Marathon Airport","YSP",16195
3525,"Marathon, FL: The Florida Keys Marathon International","MTH",13501
3526,"Marble Canyon, AZ: Cliff Dwellers","MYH",13572
3527,"Marble Canyon, AZ: Marble Canyon Airport","L41",16428
3528,"Marco Island, FL: Marco Island Airport","MRK",13469
3529,"Mardin, Turkey: Mardin Airport","MQM",16631
3530,"Marfa, TX: Marfa Municipal","MRF",16679
3531,"Margarita Island, Venezuela: Del Caribe International","MRX",13475
3532,"Marguerite Bay, AK: Marguerite Bay Airport","RTE",14638
3533,"Marianske Lazne, Czech Republic: Marianske Lazne Airport","MKA",13340
3534,"Maribor, Slovenia: Maribor Airport","MBX",13187
3535,"Marie Galante, Guadeloupe: Marie Galante Airport","GBJ",11860
3536,"Mariehamn, Finland: Mariehamn Airport","MHQ",13294
3537,"Marietta, GA: Dobbins ARB","NCQ",13632
3538,"Marietta, GA: Dobbins ARB","NCQ",13273
3539,"Marietta, GA: Dobbins ARB","MGE",13632
3540,"Marietta, GA: Dobbins ARB","MGE",13273
3541,"Marigot, Dominica: Douglas Charles","DOM",11372
3542,"Marilia, Brazil: Marilia Airport","MII",13308
3543,"Marina del Ray, CA: Marina del Ray Airport","QAX",14352
3544,"Marina, CA: Marina Municipal","CO3",11093
3545,"Marinduque, Philippines: Marinduque Airport","MRQ",16394
3546,"Marinette, MI: Menominee-Marinette Twin County","MNM",13409
3547,"Maringa, Brazil: Silvio Name Junior","MGF",13274
3548,"Marion, AL: Perry County","XWU",15954
3549,"Marion, IN: Marion Municipal","MZZ",13595
3550,"Marion, OH: Marion Municipal","MNN",13410
3551,"Marion/Herrin, IL: Williamson County Regional","MWA",13543
3552,"Marion/Wytheville, VA: Mountain Empire","VA3",15547
3553,"Mariposa, CA: Mariposa-Yosemite","XXR",15975
3554,"Marlboro, MA: Marlboro Airport","MXG",13556
3555,"Marmande, France: Marmande Virazeil","XMR",15918
3556,"Maroochydore, Australia: Sunshine Coast","MCY",13212
3557,"Maroua, Cameroon: Salak","MVR",13539
3558,"Marquette, MI: Sawyer International","MQT",13459
3559,"Marrakech, Morocco: Menara","RAK",14453
3560,"Marsa Alam, Egypt: Marsa Alam International","RMF",16564
3561,"Marsa Brega, Libya: Marsa Brega S21","LMQ",13022
3562,"Marseille, France: Marseille Provence","MRS",13472
3563,"Marsh Harbour, The Bahamas: Leonard M Thompson International","MHH",13289
3564,"Marshall, AK: Marshall Don Hunter Sr.","MLL",13369
3565,"Marshall, MN: Southwest Minnesota Regional-Marshall/Ryan Field","MML",13392
3566,"Marshall, MO: Marshall Memorial Municipal","MHL",13291
3567,"Marshall, TX: Harrison County","ASL",10378
3568,"Marshalltown, IA: Marshalltown Municipal","MIW",13322
3569,"Marshfield, MA: Marshfield Municipal George Harlow Field","MA4",16526
3570,"Marshfield, WI: Marshfield Municipal","MFI",13260
3571,"Martha's Vineyard, MA: Martha's Vineyard Airport","MVY",13541
3572,"Martinsburg, WV: Eastern WV Regional/Shepherd Field","MRB",13463
3573,"Martinsville, VA: Blue Ridge","QCX",14378
3574,"Marudi, Malaysia: Marudi Airport","MUR",13526
3575,"Marvel Creek Mine, AK: Marvel Creek Mine Airport","VZA",15676
3576,"Mary's Harbour, Canada: Mary's Harbour Airport","YMH",16119
3577,"Mary Esther, FL: Hurlburt Field","RQZ",14618
3578,"Mary, Turkmenistan: Mary Airport","MYP",13576
3579,"Maryborough, Australia: Maryborough Qld","MBH",13178
3580,"Marysville, CA: Beale AFB","BAB",10474
3581,"Marysville, CA: Yuba County","MYV",13580
3582,"Marysville, OH: Union County","OH4",13836
3583,"Masada, Israel: Israel Bar Yehuda","MTZ",13515
3584,"Masamba, Indonesia: Andi Jemma","MXB",13552
3585,"Masbate, Philippines: Masbate Airport","MBT",13185
3586,"Maseru, Lesotho: Moshoeshoe I International","MSU",13492
3587,"Mashhad, Iran: Shahid Hashemi Nejad International","MHD",13286
3588,"Masirah, Oman: Masirah Airport","MSH",13482
3589,"Mason City, IA: Mason City Municipal","MCW",13211
3590,"Massawa, Eritrea: Massawa International","MSW",13494
3591,"Massena, NY: Massena International-Richards Field","MSS",13490
3592,"Masset, Canada: Masset Airport","ZMT",16309
3593,"Masterton, New Zealand: Masterton Airport","MRO",16446
3594,"Masvingo, Zimbabwe: Masvingo International","MVZ",11788
3595,"Matadi, Congo (Kinshasa): Matadi Tshimpi","MAT",13171
3596,"Matagami, Canada: Matagami Airport","YNM",16138
3597,"Matam, Senegal: Matam Ouro Sogui","MAX",13174
3598,"Matamoros, Mexico: General Servando Canales International","MAM",13164
3599,"Matane, Canada: Matane Airport","YME",16118
3600,"Mataram, Indonesia: Selaparang","AMI",10284
3601,"Matsumoto, Japan: Matsumoto Airport","MMJ",13390
3602,"Matsuyama, Japan: Matsuyama Airport","MYJ",13573
3603,"Mattituck, NY: Mattituck Airport","NY8",16512
3604,"Mattoon/Charleston, IL: Coles County Memorial","MTO",13506
3605,"Matupa, Brazil: Matupa Airport","MBK",13181
3606,"Maturin, Venezuela: Maturin Airport","MUN",13524
3607,"Maues, Brazil: Maues Airport","MBZ",13189
3608,"Maun, Botswana: Maun Airport","MUB",13517
3609,"Maupiti, French Polynesia: Maupiti Fr. Polynesia","MAU",13172
3610,"Mauritius Island, Mauritius: Sir Seewoosagur Ramgoolam International","MRU",13473
3611,"Mawlamyine, Burma: Mawlamyine Airport","MNU",13416
3612,"Maxton, NC: Laurinburg-Maxton","MXE",13554
3613,"May Creek, AK: May Creek Airport","MYK",13574
3614,"Maya Beach, Belize: Maya Beach Airport","TZF",15415
3615,"Mayaguana, The Bahamas: Mayaguana Airport","MYG",13571
3616,"Mayaguez, PR: Eugenio Maria de Hostos","MAZ",13176
3617,"Mayajigua, Cuba: Mayajigua Airport","MJG",13330
3618,"Mayo, Canada: Mayo Airport","YMA",16116
3619,"Mayport, FL: Mayport NS","NRB",13739
3620,"Mayumba, Gabon: Mayumba Airport","MYB",13566
3621,"Mazar-I-Sherif, Afghanistan: Mawlana Jalaluddin Muhammad Balkhi","MZR",13593
3622,"Mazatlan, Mexico: General Rafael Buelna International","MZT",13594
3623,"Mbala, Zambia: Mbala Airport","MMQ",13396
3624,"Mbambanakira, Solomon Islands: Mbambanakira Airport","MBU",13186
3625,"Mbandaka, Congo (Kinshasa): Mbandaka Airport","MDK",13224
3626,"Mbanza Congo, Angola: Mbanza Congo Airport","SSY",15005
3627,"Mbeya, Tanzania: Mbeya Airport","MBI",13179
3628,"Mbuji-Mayi, Congo (Kinshasa): Mbuji Mayi","MJM",13333
3629,"McAlester, OK: McAlester Regional","MLC",13361
3630,"McArthur River, Australia: McArthur River Mine","MCV",13210
3631,"McCall, ID: McCall Municipal","MYL",13575
3632,"McCarthy, AK: McCarthy Airport","MXY",13564
3633,"McComb, MS: McComb/Pike County/John E. Lewis Field","MCB",13191
3634,"McCook, NE: McCook Ben Nelson Regional","MCK",13200
3635,"McDonald Lake, AK: McDonald Lake Airport","OQA",13901
3636,"McGrath, AK: McGrath Airport","MCG",13196
3637,"McKinley Park, AK: Denali","MCL",13201
3638,"McKinley Park, AK: McKinley National Park","A73",10086
3639,"McMinnville, TN: Warren County Memorial","RNC",14564
3640,"McPherson, KS: McPherson Airport","MPR",13447
3641,"Meadowbank Nunavut, Canada: Meadowbank","NU4",16734
3642,"Meadville, PA: Port Meadville","MEJ",13242
3643,"Medan, Indonesia: Polonia","MES",13250
3644,"Medellin, Colombia: Jose Maria Cordova","MDE",13218
3645,"Medellin, Colombia: Olaya Herrera","EOH",11565
3646,"Medford, OR: Rogue Valley International - Medford","MFR",13264
3647,"Medford, WI: Taylor County","MDF",13219
3648,"Medfra, AK: Medfra Airport","MDR",13228
3649,"Medical Lake, WA: Isaacson","WA4",15705
3650,"Medicine Hat, Canada: Medicine Hat Airport","YXH",16243
3651,"Medina, OH: Medina Municipal","OH9",16532
3652,"Medina, Saudi Arabia: Prince Mohammad Bin Abdulaziz International","MED",13240
3653,"Meekatharra, Australia: Meekatharra Airport","MKR",13352
3654,"Meghauli, Nepal: Meghauli Airport","MEY",13253
3655,"Mejit Island, Marshall Islands: Mejit","MJB",13326
3656,"Mek'ele, Ethiopia: Mek'ele Airport","MQX",13460
3657,"Mekane Selam, Ethiopia: Mekane Selam Airport","MKS",13353
3658,"Mekoryuk, AK: Mekoryuk Airport","MYU",13579
3659,"Melbourne, Australia: Essendon","MEB",13238
3660,"Melbourne, Australia: Melbourne International","MEL",13243
3661,"Melbourne, FL: Melbourne International","MLB",13360
3662,"Melchor de Mencos, Guatemala: Melchor de Mencos Airport","MCR",13206
3663,"Melfa, VA: Accomack County","MFV",13268
3664,"Melgar, Colombia: Tolemaida AB","CO4",11094
3665,"Melilla, Spain: Melilla Airport","MLN",13371
3666,"Melilla, Uruguay: Angel S Adami","UY1",15541
3667,"Melinda, Belize: Melinda Airport","MDB",13215
3668,"Melo, Uruguay: Melo Airport","MLZ",13382
3669,"Mels, AK: Mels Airport","OQL",13910
3670,"Memanbetsu, Japan: Memanbetsu Airport","MMB",13384
3671,"Memmingen, Germany: Memmingen Airport","FMM",16551
3672,"Memphis, TN: Memphis International","MEM",13244
3673,"Mena, AR: Mena Intermountain Municipal","XXX",15981
3674,"Menado, Indonesia: Sam Ratulangi","MDC",13216
3675,"Mende, France: Mende Brenoux","MEN",13245
3676,"Mendi, Papua New Guinea: Mendi Airport","MDU",13231
3677,"Mendota, CA: William Robert Johnston Municipal","RQD",14596
3678,"Mendoza, Argentina: El Plumerillo","MDZ",13235
3679,"Menongue, Angola: Menongue Airport","SPP",14957
3680,"Merced, CA: Merced Regional/Macready Field","MCE",13194
3681,"Mercedes, Argentina: Mercedes Aeroclub","MDX",13233
3682,"Mercury, NV: Desert Rock","DRA",11407
3683,"Merida, Mexico: Licenciado Manuel Crescencio Rejon International","MID",13306
3684,"Merida, Venezuela: Alberto Carnevalli","MRD",13465
3685,"Meridian, MS: Key Field","MEI",13241
3686,"Merimbula, Australia: Merimbula Airport","MIM",13312
3687,"Merluna, Australia: Merluna Airport","MLV",13378
3688,"Merritt Island, FL: NASA Shuttle Landing Facility","NSL",13750
3689,"Merritt, Canada: Merritt Airport","YMB",16117
3690,"Mersa Matruh, Egypt: Mersa Matruh Airport","MUH",13522
3691,"Mersing, Malaysia: Mersing Malay.","MEP",13247
3692,"Mesa, AZ: Falcon Field","MSC",13480
3693,"Meshik, AK: Meshik Airport","OQM",13911
3694,"Mesquite, NV: Mesquite Airport","MFH",13259
3695,"Mesquite, TX: Mesquite Metro","TX1",15393
3696,"Metlakatla, AK: Metlakatala","MTM",13504
3697,"Metz, France: Metz-Nancy Metz-Frescaty","MZM",13590
3698,"Metz/Nancy, France: Metz Nancy Lorraine","ETZ",11599
3699,"Meulaboh, Indonesia: Seunagan","MEQ",13248
3700,"Mexicali, Mexico: General Rodolfo Sanchez Taboada International","MXL",13559
3701,"Mexico City, Mexico: Licenciado Benito Juarez International","MEX",13252
3702,"Meyers Chuck, AK: Meyers Chuck Seaplane Base","WMK",15793
3703,"Mfuwe, Zambia: Mfuwe Airport","MFU",13267
3704,"Miami, FL: Dade-Collier Training and Transition","TNT",15286
3705,"Miami, FL: Miami Downtown Heliport","JDM",12467
3706,"Miami, FL: Miami Executive","TMB",15260
3707,"Miami, FL: Miami International","MIA",13303
3708,"Miami, FL: Opa-locka Executive","OPF",13898
3709,"Miami, FL: Watson Island International","MPB",13439
3710,"Miami, OK: Miami Regional","MIO",13314
3711,"Miandrivazo, Madagascar: Miandrivazo Airport","ZVA",16331
3712,"Mianwali, Pakistan: Mianwali Airport","MWD",13545
3713,"Michellville, MD: Freeway","MD1",16463
3714,"Michigan City, IN: Michigan City Municipal-Phillips Field","MGC",13271
3715,"Middle Bass Island, OH: Middle Bass Island Airport","QBN",14361
3716,"Middle Caicos, Turks and Caicos Islands: Conch Bar","MDS",13229
3717,"Middlebury, VT: Middlebury State","6B0",16429
3718,"Middlemount, Australia: Middlemount Airport","MMM",13393
3719,"Middleton Island, AK: Middleton Island Airport","MDO",13226
3720,"Middletown, DE: Summit","DE2",16520
3721,"Middletown, OH: Middletown Regional/Hook Field","MWO",13549
3722,"Midland/Odessa, TX: Midland Airpark","MDD",13217
3723,"Midland/Odessa, TX: Midland International","MAF",13158
3724,"Midland/Odessa, TX: Odessa Schlemeyer Field","VWH",15653
3725,"Midlothian/Waxahachie, TX: Mid Way Regional","JWY",16555
3726,"Midway Island, TT: Sand Island Field","MDY",13234
